anom,date,sst,dhw,blue,green,red,nir
0.01,2022-01-01,27.82,0.0,0.043,0.0374,0.0155,0.0092
-0.1,2022-01-02,27.69,0.0,,,,
-0.12,2022-01-03,27.66,0.0,,,,
-0.01,2022-01-04,27.76,0.0,,,,
0.05,2022-01-05,27.81,0.0,,,,
0.09,2022-01-06,27.84,0.0,0.0505,0.0418,0.0125,0.0071
0.06,2022-01-07,27.8,0.0,,,,
0.07,2022-01-08,27.79,0.0,,,,
0.22,2022-01-09,27.93,0.0,,,,
0.22,2022-01-10,27.92,0.0,,,,
0.27,2022-01-11,27.96,0.0,0.0496,0.0461,0.0151,0.0086
0.46,2022-01-12,28.14,0.0,,,,
0.62,2022-01-13,28.28,0.0,,,,
0.73,2022-01-14,28.38,0.0,,,,
0.92,2022-01-15,28.56,0.0,,,,
0.92,2022-01-16,28.55,0.0,0.0563,0.0463,0.0211,0.0123
1.0,2022-01-17,28.64,0.0,,,,
1.14,2022-01-18,28.8,0.019999999999999987,,,,
0.98,2022-01-19,28.65,0.019999999999999987,,,,
0.92,2022-01-20,28.61,0.019999999999999987,,,,
0.81,2022-01-21,28.52,0.019999999999999987,,,,
0.76,2022-01-22,28.48,0.019999999999999987,,,,
0.85,2022-01-23,28.59,0.019999999999999987,,,,
0.98,2022-01-24,28.73,0.019999999999999987,,,,
1.02,2022-01-25,28.79,0.022857142857142847,,,,
0.96,2022-01-26,28.75,0.022857142857142847,0.0407,0.025,0.0113,0.0065
0.89,2022-01-27,28.69,0.022857142857142847,,,,
0.97,2022-01-28,28.78,0.022857142857142847,,,,
0.94,2022-01-29,28.77,0.022857142857142847,,,,
1.03,2022-01-30,28.87,0.027142857142857135,,,,
1.02,2022-01-31,28.88,0.029999999999999995,0.0662,0.0526,0.0352,0.0254
0.99,2022-02-01,28.86,0.029999999999999995,,,,
0.97,2022-02-02,28.86,0.029999999999999995,,,,
1.07,2022-02-03,28.98,0.04,,,,
0.99,2022-02-04,28.91,0.04,,,,
0.97,2022-02-05,28.9,0.04,,,,
1.16,2022-02-06,29.11,0.06285714285714285,,,,
1.09,2022-02-07,29.06,0.07571428571428572,,,,
1.2,2022-02-08,29.18,0.10428571428571429,,,,
0.91,2022-02-09,28.91,0.10428571428571429,,,,
0.82,2022-02-10,28.83,0.10428571428571429,,,,
0.23,2022-02-11,28.26,0.10428571428571429,,,,
0.84,2022-02-12,28.89,0.10428571428571429,,,,
1.04,2022-02-13,29.1,0.11,,,,
0.91,2022-02-14,28.98,0.11,,,,
0.93,2022-02-15,29.03,0.11,,,,
0.89,2022-02-16,29.01,0.11,,,,
0.9,2022-02-17,29.05,0.11,,,,
1.06,2022-02-18,29.24,0.11857142857142858,,,,
1.09,2022-02-19,29.3,0.13142857142857145,,,,
1.08,2022-02-20,29.31,0.14285714285714288,,,,
0.98,2022-02-21,29.24,0.14285714285714288,,,,
0.83,2022-02-22,29.12,0.14285714285714288,,,,
0.7,2022-02-23,29.02,0.14285714285714288,,,,
0.56,2022-02-24,28.91,0.14285714285714288,,,,
0.5,2022-02-25,28.87,0.14285714285714288,,,,
0.53,2022-02-26,28.93,0.14285714285714288,,,,
0.53,2022-02-27,28.97,0.14285714285714288,,,,
0.51,2022-02-28,28.97,0.14285714285714288,,,,
0.55,2022-03-01,29.04,0.14285714285714288,,,,
0.48,2022-03-02,29.0,0.14285714285714288,,,,
0.55,2022-03-03,29.1,0.14285714285714288,,,,
0.58,2022-03-04,29.15,0.14285714285714288,,,,
0.63,2022-03-05,29.23,0.14285714285714288,,,,
0.81,2022-03-06,29.44,0.14285714285714288,,,,
0.84,2022-03-07,29.49,0.14285714285714288,,,,
0.77,2022-03-08,29.45,0.14285714285714288,,,,
0.85,2022-03-09,29.56,0.14285714285714288,,,,
0.72,2022-03-10,29.46,0.14285714285714288,,,,
0.67,2022-03-11,29.44,0.14285714285714288,,,,
0.78,2022-03-12,29.57,0.14285714285714288,0.056,0.0493,0.0302,0.0191
0.87,2022-03-13,29.7,0.14285714285714288,,,,
0.92,2022-03-14,29.77,0.14285714285714288,,,,
0.81,2022-03-15,29.69,0.14285714285714288,,,,
0.75,2022-03-16,29.66,0.14285714285714288,,,,
0.9,2022-03-17,29.84,0.14285714285714288,,,,
0.93,2022-03-18,29.9,0.14285714285714288,,,,
0.95,2022-03-19,29.95,0.14285714285714288,,,,
0.98,2022-03-20,30.02,0.14285714285714288,,,,
0.95,2022-03-21,30.01,0.14285714285714288,,,,
0.68,2022-03-22,29.77,0.14285714285714288,,,,
0.8,2022-03-23,29.93,0.14285714285714288,,,,
0.83,2022-03-24,29.98,0.14285714285714288,,,,
1.06,2022-03-25,30.25,0.15142857142857147,,,,
1.28,2022-03-26,30.5,0.19142857142857148,,,,
1.34,2022-03-27,30.59,0.24000000000000005,0.1224,0.1218,0.101,0.0916
1.35,2022-03-28,30.63,0.29000000000000004,,,,
1.37,2022-03-29,30.68,0.3428571428571429,,,,
1.28,2022-03-30,30.62,0.38285714285714295,,,,
1.28,2022-03-31,30.66,0.422857142857143,,,,
1.33,2022-04-01,30.74,0.47000000000000014,0.1182,0.121,0.1086,0.1096
1.31,2022-04-02,30.75,0.5142857142857143,,,,
1.04,2022-04-03,30.51,0.5200000000000001,,,,
0.93,2022-04-04,30.43,0.5200000000000001,,,,
0.82,2022-04-05,30.35,0.5200000000000001,,,,
0.73,2022-04-06,30.29,0.5200000000000001,0.2486,0.2568,0.2446,0.217
0.54,2022-04-07,30.13,0.5200000000000001,,,,
0.31,2022-04-08,29.93,0.5200000000000001,,,,
0.21,2022-04-09,29.86,0.5200000000000001,,,,
