date,sst,anom,dhw,blue,green,red,nir
2022-01-01,27.82,1,0.0,0.0326,0.0292,0.0086,0.0039
2022-01-01,27.82,1,0.0,0.043,0.0374,0.0155,0.0092
2022-01-02,27.69,-10,-0.1428571428571428,,,,
2022-01-03,27.66,-12,-0.2857142857142857,,,,
2022-01-04,27.76,-1,-0.4285714285714285,,,,
2022-01-05,27.81,5,0.1428571428571428,,,,
2022-01-06,27.84,9,1.2857142857142858,0.0454,0.0379,0.0086,0.0035
2022-01-06,27.84,9,1.2857142857142858,0.0505,0.0418,0.0125,0.0071
2022-01-07,27.8,6,2.0,,,,
2022-01-08,27.79,7,2.857142857142857,,,,
2022-01-09,27.93,22,5.857142857142857,,,,
2022-01-10,27.92,22,8.857142857142858,,,,
2022-01-11,27.96,27,12.571428571428571,0.0496,0.0461,0.0151,0.0086
2022-01-12,28.14,46,19.0,,,,
2022-01-13,28.28,62,27.714285714285715,,,,
2022-01-14,28.38,73,38.0,,,,
2022-01-15,28.56,92,51.0,,,,
2022-01-16,28.55,92,64.0,0.0563,0.0463,0.0211,0.0123
2022-01-16,28.55,92,64.0,0.0601,0.0496,0.0243,0.0149
2022-01-17,28.64,100,78.14285714285714,,,,
2022-01-18,28.8,114,94.28571428571428,,,,
2022-01-19,28.65,98,108.14285714285714,,,,
2022-01-20,28.61,92,121.14285714285714,,,,
2022-01-21,28.52,81,132.57142857142858,,,,
2022-01-22,28.48,76,143.28571428571428,,,,
2022-01-23,28.59,85,155.28571428571428,,,,
2022-01-24,28.73,98,169.14285714285714,,,,
2022-01-25,28.79,102,183.57142857142856,,,,
2022-01-26,28.75,96,197.14285714285717,0.0407,0.025,0.0113,0.0065
2022-01-27,28.69,89,209.7142857142857,,,,
2022-01-28,28.78,97,223.42857142857144,,,,
2022-01-29,28.77,94,236.7142857142857,,,,
2022-01-30,28.87,103,251.28571428571428,,,,
2022-01-31,28.88,102,265.7142857142857,0.0662,0.0526,0.0352,0.0254
2022-02-01,28.86,99,279.7142857142857,,,,
2022-02-02,28.86,97,293.42857142857144,,,,
2022-02-03,28.98,107,308.57142857142856,,,,
2022-02-04,28.91,99,322.57142857142856,,,,
2022-02-05,28.9,97,336.2857142857143,,,,
2022-02-06,29.11,116,352.7142857142857,,,,
2022-02-07,29.06,109,368.1428571428572,,,,
2022-02-08,29.18,120,385.1428571428572,,,,
2022-02-09,28.91,91,398.0,,,,
2022-02-10,28.83,82,409.57142857142856,,,,
2022-02-11,28.26,23,412.7142857142857,,,,
2022-02-12,28.89,84,424.57142857142856,,,,
2022-02-13,29.1,104,439.2857142857143,,,,
2022-02-14,28.98,91,452.1428571428572,,,,
2022-02-15,29.03,93,465.2857142857143,,,,
2022-02-16,29.01,89,477.8571428571428,,,,
2022-02-17,29.05,90,490.57142857142856,,,,
2022-02-18,29.24,106,505.57142857142856,,,,
2022-02-19,29.3,109,521.0,,,,
2022-02-20,29.31,108,536.2857142857143,,,,
2022-02-21,29.24,98,550.1428571428571,,,,
2022-02-22,29.12,83,561.8571428571429,,,,
2022-02-23,29.02,70,571.7142857142857,,,,
2022-02-24,28.91,56,579.5714285714286,,,,
2022-02-25,28.87,50,586.5714285714286,,,,
2022-02-26,28.93,53,594.0,,,,
2022-02-27,28.97,53,601.4285714285714,,,,
2022-02-28,28.97,51,608.5714285714286,,,,
2022-03-01,29.04,55,616.2857142857143,,,,
2022-03-02,29.0,48,623.0,,,,
2022-03-03,29.1,55,630.7142857142857,,,,
2022-03-04,29.15,58,638.8571428571429,,,,
2022-03-05,29.23,63,647.7142857142857,,,,
2022-03-06,29.44,81,659.1428571428571,,,,
2022-03-07,29.49,84,671.0,,,,
