blue,cloud,date,green,nir,red
0.0326,2.56464,2022-01-01,0.0292,0.0039,0.0086
0.043,1.526888,2022-01-01,0.0374,0.0092,0.0155
0.0454,0.237799,2022-01-06,0.0379,0.0035,0.0086
0.0505,0.002532,2022-01-06,0.0418,0.0071,0.0125
0.0496,10.745547,2022-01-11,0.0461,0.0086,0.0151
0.0563,0.664948,2022-01-16,0.0463,0.0123,0.0211
0.0601,9.566013,2022-01-16,0.0496,0.0149,0.0243
0.0407,16.477062,2022-01-26,0.025,0.0065,0.0113
0.0662,7.136952,2022-01-31,0.0526,0.0254,0.0352
0.056,5.419756,2022-03-12,0.0493,0.0191,0.0302
0.0676,14.275776,2022-03-12,0.0588,0.0248,0.0375
0.1224,2.423061,2022-03-27,0.1218,0.0916,0.101
0.1218,24.858956,2022-03-27,0.121,0.0908,0.1005
0.1182,26.397023,2022-04-01,0.121,0.1096,0.1086
0.2486,7.915405,2022-04-06,0.2568,0.217,0.2446
0.0764,10.853013,2022-04-11,0.0682,0.0918,0.0674
0.136,14.080049,2022-04-16,0.1304,0.1216,0.1108
0.1294,23.840074,2022-04-21,0.1248,0.0978,0.1168
0.0338,29.778972,2022-06-20,0.0283,0.0088,0.0131
0.0494,18.011925,2022-07-25,0.0496,0.0334,0.0396
0.1362,12.841833,2022-08-14,0.1418,0.11,0.119
0.069,15.279584,2022-10-13,0.0658,0.052,0.0568
0.0825,12.969552,2022-10-18,0.0728,0.0472,0.0634
0.0706,25.938889,2022-10-23,0.0634,0.048,0.0536
0.0836,16.6017,2022-11-02,0.0766,0.0429,0.0454
0.0838,25.087839,2022-11-02,0.073,0.0328,0.0444
0.1624,18.661584,2022-12-07,0.162,0.1558,0.1402
0.1738,22.663186,2022-12-07,0.17,0.1598,0.1452
0.0662,10.733283,2022-12-12,0.0548,0.026,0.0288
0.0606,28.110415,2022-12-12,0.0506,0.0256,0.0279
0.0426,4.479872,2022-12-17,0.0346,0.0085,0.0128
0.0439,5.79312,2022-12-17,0.036,0.0097,0.0142
