Date,SST_Celsius,SST_Anomaly
2023-01-01,27.1,-0.71
2023-01-02,27.07,-0.73
2023-01-03,27.060000000000002,-0.72
2023-01-04,27.12,-0.65
2023-01-05,27.05,-0.71
2023-01-06,26.89,-0.85
2023-01-07,26.97,-0.77
2023-01-08,27.09,-0.64
2023-01-09,27.12,-0.59
2023-01-10,27.19,-0.51
2023-01-11,27.27,-0.42
2023-01-12,27.3,-0.38
2023-01-13,27.29,-0.38
2023-01-14,27.330000000000002,-0.33
2023-01-15,27.59,-0.06
2023-01-16,27.69,0.06
2023-01-17,27.72,0.07
2023-01-18,27.45,-0.21
2023-01-19,27.43,-0.25
2023-01-20,27.25,-0.44
2023-01-21,27.35,-0.36
2023-01-22,27.51,-0.21
2023-01-23,27.62,-0.12
2023-01-24,27.42,-0.34
2023-01-25,27.240000000000002,-0.53
2023-01-26,27.32,-0.47000000000000003
2023-01-27,27.09,-0.7000000000000001
2023-01-28,26.94,-0.88
2023-01-29,26.73,-1.1
2023-01-30,26.7,-1.1500000000000001
2023-01-31,26.830000000000002,-1.03
2023-02-01,27.060000000000002,-0.8200000000000001
2023-02-02,27.35,-0.54
2023-02-03,27.47,-0.44
2023-02-04,27.32,-0.6
2023-02-05,27.53,-0.4
2023-02-06,27.63,-0.32
2023-02-07,27.73,-0.24
2023-02-08,28.0,0.02
2023-02-09,28.13,0.13
2023-02-10,28.19,0.17
2023-02-11,28.27,0.24
2023-02-12,28.25,0.2
2023-02-13,28.19,0.13
2023-02-14,28.39,0.32
2023-02-15,28.400000000000002,0.3
2023-02-16,28.44,0.31
2023-02-17,28.55,0.4
2023-02-18,28.490000000000002,0.31
2023-02-19,28.5,0.29
2023-02-20,28.41,0.18
2023-02-21,28.43,0.17
2023-02-22,28.47,0.17
2023-02-23,28.68,0.36
2023-02-24,29.01,0.67
2023-02-25,28.47,0.09
2023-02-26,28.32,-0.08
2023-02-27,28.23,-0.2
2023-02-28,28.43,-0.03
2023-03-01,28.61,0.12
2023-03-02,28.55,0.03
2023-03-03,28.39,-0.16
2023-03-04,28.27,-0.31
2023-03-05,28.1,-0.5
2023-03-06,28.11,-0.52
2023-03-07,28.16,-0.5
2023-03-08,28.240000000000002,-0.45
2023-03-09,28.310000000000002,-0.4
2023-03-10,28.240000000000002,-0.5
2023-03-11,28.18,-0.59
2023-03-12,28.23,-0.5700000000000001
2023-03-13,28.37,-0.46
2023-03-14,28.47,-0.38
2023-03-15,28.41,-0.47000000000000003
2023-03-16,28.43,-0.48
2023-03-17,28.59,-0.35000000000000003
2023-03-18,28.78,-0.19
2023-03-19,28.900000000000002,-0.11
2023-03-20,28.97,-0.06
2023-03-21,29.12,0.06
2023-03-22,29.3,0.21
2023-03-23,29.41,0.28
2023-03-24,29.43,0.28
2023-03-25,29.43,0.24
2023-03-26,29.580000000000002,0.36
2023-03-27,29.68,0.43
2023-03-28,29.71,0.43
2023-03-29,29.810000000000002,0.5
2023-03-30,29.94,0.6
2023-03-31,30.01,0.64
2023-04-01,30.01,0.6
2023-04-02,30.11,0.67
2023-04-03,30.060000000000002,0.59
2023-04-04,30.13,0.63
2023-04-05,30.28,0.75
2023-04-06,30.47,0.91
2023-04-07,30.55,0.96
2023-04-08,30.63,1.0
2023-04-09,30.67,1.01
2023-04-10,30.72,1.04
2023-04-11,30.8,1.08
2023-04-12,30.77,1.02
2023-04-13,30.8,1.01
2023-04-14,30.900000000000002,1.09
2023-04-15,30.970000000000002,1.1300000000000001
2023-04-16,31.12,1.26
2023-04-17,31.1,1.22
2023-04-18,31.060000000000002,1.17
2023-04-19,31.04,1.1400000000000001
2023-04-20,31.05,1.1300000000000001
2023-04-21,31.23,1.3
2023-04-22,31.34,1.3900000000000001
2023-04-23,31.34,1.3800000000000001
2023-04-24,31.37,1.4000000000000001
2023-04-25,31.29,1.31
2023-04-26,31.12,1.1300000000000001
2023-04-27,31.05,1.04
2023-04-28,30.86,0.84
2023-04-29,31.03,0.99
2023-04-30,31.13,1.08
2023-05-01,31.080000000000002,1.02
2023-05-02,30.84,0.76
2023-05-03,30.84,0.75
2023-05-04,31.04,0.9400000000000001
2023-05-05,31.17,1.06
2023-05-06,31.27,1.1400000000000001
2023-05-07,31.27,1.1300000000000001
2023-05-08,31.400000000000002,1.24
2023-05-09,31.7,1.54
2023-05-10,31.61,1.43
2023-05-11,31.69,1.5
2023-05-12,31.68,1.48
2023-05-13,31.89,1.67
2023-05-14,31.7,1.47
2023-05-15,31.740000000000002,1.49
2023-05-16,31.87,1.61
2023-05-17,31.560000000000002,1.32
2023-05-18,31.66,1.43
2023-05-19,31.59,1.3800000000000001
2023-05-20,31.36,1.16
2023-05-21,31.470000000000002,1.28
2023-05-22,31.46,1.29
2023-05-23,31.36,1.2
2023-05-24,31.35,1.2
2023-05-25,31.32,1.19
2023-05-26,31.36,1.24
2023-05-27,31.240000000000002,1.1400000000000001
2023-05-28,31.2,1.11
2023-05-29,30.990000000000002,0.91
2023-05-30,30.830000000000002,0.77
2023-05-31,30.740000000000002,0.6900000000000001
2023-06-01,30.82,0.79
2023-06-02,30.94,0.92
2023-06-03,30.8,0.79
2023-06-04,30.53,0.54
2023-06-05,30.47,0.49
2023-06-06,30.43,0.47000000000000003
2023-06-07,30.26,0.31
2023-06-08,30.26,0.33
2023-06-09,30.21,0.29
2023-06-10,30.04,0.13
2023-06-11,30.21,0.32
2023-06-12,30.240000000000002,0.36
2023-06-13,30.13,0.26
2023-06-14,29.85,0.0
2023-06-15,30.05,0.21
2023-06-16,30.03,0.21
2023-06-17,30.13,0.33
2023-06-18,30.12,0.34
2023-06-19,29.87,0.1
2023-06-20,29.78,0.03
2023-06-21,29.91,0.17
2023-06-22,30.11,0.4
2023-06-23,30.26,0.56
2023-06-24,30.02,0.34
2023-06-25,29.77,0.11
2023-06-26,29.78,0.13
2023-06-27,29.830000000000002,0.2
2023-06-28,29.84,0.22
2023-06-29,29.91,0.31
2023-06-30,29.76,0.18
2023-07-01,29.63,0.07
2023-07-02,29.36,-0.19
2023-07-03,29.48,-0.05
2023-07-04,30.12,0.61
2023-07-05,30.39,0.9
2023-07-06,30.080000000000002,0.6
2023-07-07,29.990000000000002,0.53
2023-07-08,30.150000000000002,0.71
2023-07-09,30.11,0.68
2023-07-10,30.02,0.61
2023-07-11,29.98,0.59
2023-07-12,30.19,0.81
2023-07-13,30.04,0.68
2023-07-14,29.91,0.5700000000000001
2023-07-15,30.18,0.85
2023-07-16,30.01,0.7000000000000001
2023-07-17,29.71,0.4
2023-07-18,29.89,0.59
2023-07-19,29.94,0.65
2023-07-20,29.88,0.6
2023-07-21,29.85,0.58
2023-07-22,29.900000000000002,0.63
2023-07-23,29.94,0.68
2023-07-24,29.72,0.47000000000000003
2023-07-25,29.79,0.54
2023-07-26,29.740000000000002,0.51
2023-07-27,29.740000000000002,0.51
2023-07-28,29.62,0.39
2023-07-29,29.35,0.13
2023-07-30,29.22,0.01
2023-07-31,29.46,0.26
2023-08-01,29.52,0.32
2023-08-02,29.37,0.19
2023-08-03,29.400000000000002,0.22
2023-08-04,30.12,0.9400000000000001
2023-08-05,29.89,0.72
2023-08-06,29.6,0.44
2023-08-07,29.48,0.33
2023-08-08,29.48,0.34
2023-08-09,29.6,0.46
2023-08-10,29.64,0.51
2023-08-11,29.580000000000002,0.46
2023-08-12,29.44,0.32
2023-08-13,29.52,0.41000000000000003
2023-08-14,29.59,0.49
2023-08-15,29.34,0.25
2023-08-16,29.43,0.35000000000000003
2023-08-17,29.7,0.62
2023-08-18,29.92,0.84
2023-08-19,29.93,0.86
