Date,SST_Celsius
2023-01-01,27.69
2023-01-02,27.71
2023-01-03,27.75
2023-01-04,27.71
2023-01-05,27.74
2023-01-06,27.65
2023-01-07,27.59
2023-01-08,27.6
2023-01-09,27.54
2023-01-10,27.51
2023-01-11,27.42
2023-01-12,27.37
2023-01-13,27.44
2023-01-14,27.42
2023-01-15,27.39
2023-01-16,27.4
2023-01-17,27.43
2023-01-18,27.54
2023-01-19,27.59
2023-01-20,27.53
2023-01-21,27.5
2023-01-22,27.56
2023-01-23,27.56
2023-01-24,27.49
2023-01-25,27.5
2023-01-26,27.57
2023-01-27,27.71
2023-01-28,27.67
2023-01-29,27.66
2023-01-30,27.68
2023-01-31,27.7
2023-02-01,27.82
2023-02-02,27.79
2023-02-03,27.75
2023-02-04,27.84
2023-02-05,27.88
2023-02-06,28.04
2023-02-07,28.06
2023-02-08,27.95
2023-02-09,28.01
2023-02-10,27.95
2023-02-11,27.92
2023-02-12,27.89
2023-02-13,27.69
2023-02-14,27.66
2023-02-15,27.66
2023-02-16,27.64
2023-02-17,27.66
2023-02-18,27.74
2023-02-19,27.81
2023-02-20,27.9
2023-02-21,28.01
2023-02-22,28.02
2023-02-23,28.08
2023-02-24,28.19
2023-02-25,28.2
2023-02-26,28.21
2023-02-27,28.25
2023-02-28,28.26
2023-03-01,28.33
2023-03-02,28.36
2023-03-03,28.39
2023-03-04,28.41
2023-03-05,28.33
2023-03-06,28.32
2023-03-07,28.31
2023-03-08,28.22
2023-03-09,28.23
2023-03-10,28.14
2023-03-11,28.05
2023-03-12,28.18
2023-03-13,28.25
2023-03-14,28.3
2023-03-15,28.41
2023-03-16,28.37
2023-03-17,28.36
2023-03-18,28.49
2023-03-19,28.45
2023-03-20,28.44
2023-03-21,28.46
2023-03-22,28.57
2023-03-23,28.69
2023-03-24,28.82
2023-03-25,28.82
2023-03-26,28.88
2023-03-27,28.84
2023-03-28,28.81
2023-03-29,28.72
2023-03-30,28.69
2023-03-31,28.74
2023-04-01,28.75
2023-04-02,28.78
2023-04-03,28.95
2023-04-04,29.01
2023-04-05,29.12
2023-04-06,29.15
2023-04-07,29.16
2023-04-08,29.16
2023-04-09,29.1
2023-04-10,29.04
2023-04-11,29.12
2023-04-12,29.08
2023-04-13,29.03
2023-04-14,29.05
2023-04-15,29.1
2023-04-16,29.17
2023-04-17,29.2
2023-04-18,29.18
2023-04-19,29.23
2023-04-20,29.31
2023-04-21,29.35
2023-04-22,29.33
2023-04-23,29.36
2023-04-24,29.48
2023-04-25,29.52
2023-04-26,29.49
2023-04-27,29.49
2023-04-28,29.5
2023-04-29,29.56
2023-04-30,29.54
2023-05-01,29.52
2023-05-02,29.53
2023-05-03,29.58
2023-05-04,29.58
2023-05-05,29.56
2023-05-06,29.63
2023-05-07,29.81
2023-05-08,29.85
2023-05-09,29.77
2023-05-10,29.77
2023-05-11,29.8
2023-05-12,29.85
2023-05-13,29.81
2023-05-14,29.77
2023-05-15,29.76
2023-05-16,29.77
2023-05-17,29.9
2023-05-18,29.95
2023-05-19,29.96
2023-05-20,30.09
2023-05-21,30.03
2023-05-22,30.13
2023-05-23,30.27
2023-05-24,30.24
2023-05-25,30.34
2023-05-26,30.39
2023-05-27,30.3
2023-05-28,30.3
2023-05-29,30.26
2023-05-30,30.27
2023-05-31,30.3
2023-06-01,30.24
2023-06-02,30.26
2023-06-03,30.34
2023-06-04,30.43
2023-06-05,30.52
2023-06-06,30.41
2023-06-07,30.45
2023-06-08,30.44
2023-06-09,30.42
2023-06-10,30.39
2023-06-11,30.4
2023-06-12,30.32
2023-06-13,30.43
2023-06-14,30.36
2023-06-15,30.38
2023-06-16,30.4
2023-06-17,30.38
2023-06-18,30.46
2023-06-19,30.48
2023-06-20,30.57
2023-06-21,30.51
2023-06-22,30.48
2023-06-23,30.52
2023-06-24,30.51
2023-06-25,30.4
2023-06-26,30.34
2023-06-27,30.23
2023-06-28,30.29
2023-06-29,30.35
2023-06-30,30.29
2023-07-01,30.4
2023-07-02,30.46
2023-07-03,30.4
2023-07-04,30.39
2023-07-05,30.37
2023-07-06,30.41
2023-07-07,30.43
2023-07-08,30.49
2023-07-09,30.53
2023-07-10,30.67
2023-07-11,30.68
2023-07-12,30.71
2023-07-13,30.65
2023-07-14,30.73
2023-07-15,30.67
2023-07-16,30.62
2023-07-17,30.63
2023-07-18,30.62
2023-07-19,30.59
2023-07-20,30.57
2023-07-21,30.49
2023-07-22,30.48
2023-07-23,30.46
2023-07-24,30.42
2023-07-25,30.5
2023-07-26,30.58
2023-07-27,30.59
2023-07-28,30.57
2023-07-29,30.53
2023-07-30,30.56
2023-07-31,30.5
2023-08-01,30.45
2023-08-02,30.38
2023-08-03,30.37
2023-08-04,30.33
2023-08-05,30.33
2023-08-06,30.35
2023-08-07,30.38
2023-08-08,30.39
2023-08-09,30.43
2023-08-10,30.41
2023-08-11,30.46
2023-08-12,30.39
2023-08-13,30.38
2023-08-14,30.34
2023-08-15,30.22
2023-08-16,30.15
2023-08-17,30.09
2023-08-18,30.08
2023-08-19,30.05
2023-08-20,29.92
2023-08-21,29.93
2023-08-22,29.95
2023-08-23,30.0
2023-08-24,30.08
2023-08-25,30.06
2023-08-26,30.12
2023-08-27,30.16
2023-08-28,30.13
2023-08-29,30.09
2023-08-30,30.01
2023-08-31,29.97
2023-09-01,29.94
2023-09-02,29.89
2023-09-03,29.83
2023-09-04,29.73
2023-09-05,29.82
2023-09-06,29.84
2023-09-07,29.77
2023-09-08,29.71
2023-09-09,29.73
2023-09-10,29.74
2023-09-11,29.8
2023-09-12,29.75
2023-09-13,29.67
2023-09-14,29.64
2023-09-15,29.59
2023-09-16,29.49
2023-09-17,29.45
2023-09-18,29.5
2023-09-19,29.39
2023-09-20,29.44
2023-09-21,29.4
2023-09-22,29.46
2023-09-23,29.41
2023-09-24,29.36
2023-09-25,29.29
2023-09-26,29.3
2023-09-27,29.17
2023-09-28,29.23
2023-09-29,29.19
2023-09-30,29.24
2023-10-01,29.36
2023-10-02,29.27
2023-10-03,29.2
2023-10-04,29.25
2023-10-05,29.14
2023-10-06,29.04
2023-10-07,29.04
2023-10-08,28.85
2023-10-09,28.89
2023-10-10,28.93
2023-10-11,28.85
2023-10-12,28.83
2023-10-13,28.91
2023-10-14,28.85
2023-10-15,28.88
2023-10-16,28.9
2023-10-17,28.88
2023-10-18,28.89
2023-10-19,28.81
2023-10-20,28.65
2023-10-21,28.6
2023-10-22,28.57
2023-10-23,28.45
2023-10-24,28.38
2023-10-25,28.34
2023-10-26,28.37
2023-10-27,28.43
2023-10-28,28.45
2023-10-29,28.46
2023-10-30,28.49
2023-10-31,28.49
2023-11-01,28.48
2023-11-02,28.41
2023-11-03,28.38
2023-11-04,28.37
2023-11-05,28.24
2023-11-06,28.25
2023-11-07,28.29
2023-11-08,28.39
2023-11-09,28.38
2023-11-10,28.34
2023-11-11,28.36
2023-11-12,28.34
2023-11-13,28.28
2023-11-14,28.19
2023-11-15,28.12
2023-11-16,28.16
2023-11-17,28.28
2023-11-18,28.24
2023-11-19,28.36
