Date,Status,SST_Celsius,Linear_Trend
2023-01-01,History,27.69,28.978886378909962
2023-01-02,History,27.71,28.978963688726843
2023-01-03,History,27.75,28.979040998543717
2023-01-04,History,27.71,28.97911830836059
2023-01-05,History,27.74,28.97919561817747
2023-01-06,History,27.65,28.979272927994344
2023-01-07,History,27.59,28.979350237811218
2023-01-08,History,27.6,28.9794275476281
2023-01-09,History,27.54,28.979504857444972
2023-01-10,History,27.51,28.979582167261846
2023-01-11,History,27.42,28.979659477078727
2023-01-12,History,27.37,28.9797367868956
2023-01-13,History,27.44,28.979814096712474
2023-01-14,History,27.42,28.979891406529354
2023-01-15,History,27.39,28.979968716346228
2023-01-16,History,27.4,28.9800460261631
2023-01-17,History,27.43,28.980123335979982
2023-01-18,History,27.54,28.980200645796856
2023-01-19,History,27.59,28.980277955613737
2023-01-20,History,27.53,28.98035526543061
2023-01-21,History,27.5,28.980432575247484
2023-01-22,History,27.56,28.980509885064365
2023-01-23,History,27.56,28.980587194881238
2023-01-24,History,27.49,28.98066450469811
2023-01-25,History,27.5,28.980741814514992
2023-01-26,History,27.57,28.980819124331866
2023-01-27,History,27.71,28.98089643414874
2023-01-28,History,27.67,28.98097374396562
2023-01-29,History,27.66,28.981051053782494
2023-01-30,History,27.68,28.981128363599368
2023-01-31,History,27.7,28.981205673416248
2023-02-01,History,27.82,28.981282983233122
2023-02-02,History,27.79,28.981360293049995
2023-02-03,History,27.75,28.981437602866876
2023-02-04,History,27.84,28.98151491268375
2023-02-05,History,27.88,28.98159222250063
2023-02-06,History,28.04,28.981669532317504
2023-02-07,History,28.06,28.981746842134378
2023-02-08,History,27.95,28.98182415195126
2023-02-09,History,28.01,28.981901461768132
2023-02-10,History,27.95,28.981978771585005
2023-02-11,History,27.92,28.982056081401886
2023-02-12,History,27.89,28.98213339121876
2023-02-13,History,27.69,28.982210701035633
2023-02-14,History,27.66,28.982288010852514
2023-02-15,History,27.66,28.982365320669388
2023-02-16,History,27.64,28.98244263048626
2023-02-17,History,27.66,28.982519940303142
2023-02-18,History,27.74,28.982597250120016
2023-02-19,History,27.81,28.98267455993689
2023-02-20,History,27.9,28.98275186975377
2023-02-21,History,28.01,28.982829179570643
2023-02-22,History,28.02,28.982906489387524
2023-02-23,History,28.08,28.982983799204398
2023-02-24,History,28.19,28.98306110902127
2023-02-25,History,28.2,28.983138418838152
2023-02-26,History,28.21,28.983215728655026
2023-02-27,History,28.25,28.9832930384719
2023-02-28,History,28.26,28.98337034828878
2023-03-01,History,28.33,28.983447658105653
2023-03-02,History,28.36,28.983524967922527
2023-03-03,History,28.39,28.983602277739408
2023-03-04,History,28.41,28.98367958755628
2023-03-05,History,28.33,28.983756897373155
2023-03-06,History,28.32,28.983834207190036
2023-03-07,History,28.31,28.98391151700691
2023-03-08,History,28.22,28.983988826823783
2023-03-09,History,28.23,28.984066136640664
2023-03-10,History,28.14,28.984143446457537
2023-03-11,History,28.05,28.984220756274418
2023-03-12,History,28.18,28.98429806609129
